1,26,965
2,26,975
3,26,985
4,27,005
5,27.015
6,27.025
7,27.035
8,27.055
9,27.065
10,27.075
11,27.085
12,27.105
13,27.115
14,27.125
15,27.135
16,27.155
17,27.165
18,27.175
19,27.185
20,27.205
21,27.215
22,27.225
23,27.255
24,27.235
25,27.245
26,27.265
27,27.275
28,27.285
29,27.295
30,27.305
31,27.315
32,27.325
33,27.335
34,27.345
35,27.355
36,27.365
37,27.375
38,27.385
39,27.395
40,27.405
41,26.565
42,26.575
43,26.585
44,26.595
45,26.605
46,26.615
47,26.625
48,26.635
49,26.645
50,26.655
51,26.665
52,26.675
53,26.685
54,26.695
55,26.705
56,26.715
57,26.725
58,26.735
59,26.745
60,26.755
61,26.765
62,26.775
63,26.785
64,26.795
65,26.805
66,26.815
67,26.825
68,26.835
69,26.845
70,26.855
71,26.865
72,26.875
73,26.885
74,26.895
75,26.905
76,26.915
77,26.925
78,26.935
79,26.945
80,26.955
